taxon	lfc_(Intercept)	lfc_conditionactive_smoker	lfc_conditionex_smoker	lfc_conditionpassive_smoker	se_(Intercept)	se_conditionactive_smoker	se_conditionex_smoker	se_conditionpassive_smoker	W_(Intercept)	W_conditionactive_smoker	W_conditionex_smoker	W_conditionpassive_smoker	p_(Intercept)	p_conditionactive_smoker	p_conditionex_smoker	p_conditionpassive_smoker	q_(Intercept)	q_conditionactive_smoker	q_conditionex_smoker	q_conditionpassive_smoker	diff_(Intercept)	diff_conditionactive_smoker	diff_conditionex_smoker	diff_conditionpassive_smoker
Oxalobacter formigenes_B	0.0142721893641712	0.133354426048529	-0.0910977999095108	-0.132186159798404	0.0812321482501392	0.170276600009232	0.193371190941717	0.218304838880207	0.175696318164856	0.783163547083389	-0.471103267585335	-0.605511817678671	0.86053252798913	0.433531078168578	0.637566991808458	0.54483897489368	0.997233545206974	0.930036363527287	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Parasutterella excrementihominis	0.0239149572428001	-0.360286526297304	0.579714403537172	-0.221771662499045	0.167537332499606	0.351187158867242	0.39881862305164	0.450243052358072	0.142744049257537	-1.02591030793783	1.45357907086026	-0.492559877020986	0.886492326635532	0.304933863421681	0.146063042914954	0.62232360409825	0.997233545206974	0.850634537269381	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Mesosutterella multiformis	0.0344151824569608	-0.193405185579712	0.147096766231957	-0.0599829437992343	0.117936330622803	0.247214899871629	0.280744621422571	0.316944365123197	0.291811541661673	-0.782336281834715	0.523952214958197	-0.189253857773804	0.77043072016888	0.434016969646067	0.600311776268651	0.849893857881853	0.997233545206974	0.930036363527287	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Sutterella wadsworthensis_A_565807	-0.0668406080705524	0.87301275758502	0.325743964449783	-1.2013436134114	0.221745747719421	0.464817351276971	0.527860462223989	0.595923790901054	-0.301429040953367	1.87818452815204	0.61710241202259	-2.01593497650921	0.763087352001036	0.0603559259609852	0.537167177842643	0.043806775601018	0.997233545206974	0.591952350771201	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Sutterella wadsworthensis_A_565869	-0.138646481471284	0.108128003571714	0.33889903052044	0.929388254515271	0.195212844043245	0.409199806700412	0.464699518022378	0.52461875481835	-0.710232373032636	0.264242557794945	0.729286382655814	1.77154980827377	0.477560048770344	0.791593019701132	0.465826500243492	0.0764693176779225	0.997233545206974	0.961220095351375	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Duodenibacillus intestinigallinarum	-0.152356041503988	0.676351537727916	0.600574473393028	-0.318828386039228	0.154764942364347	0.324414025162513	0.368414253047514	0.415918285247311	-0.984435099942161	2.08484062114486	1.63016079976573	-0.76656496563898	0.324901627083822	0.0370837700828592	0.103067516457641	0.443340212133877	0.997233545206974	0.562012670254427	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Enterobacter_B_713587 cloacae_713536	0.0223199166253288	-0.248461035746016	-0.0226310461657265	0.392912904175633	0.130371989456621	0.273282186662775	0.310347410597066	0.350364194052579	0.171201779756191	-0.909173915724745	-0.0729216529378718	1.12144137684534	0.864065108113511	0.363258330615092	0.94186846326038	0.262100031947296	0.997233545206974	0.930036363527287	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Phocaeicola_A_858004 vulgatus	-0.0363619425502876	-0.0496663827611693	0.0538832619332118	0.536076277673733	0.190057109848734	0.398392498164273	0.452426415773481	0.510763135499062	-0.191321138047547	-0.12466696283194	0.119098399329958	1.04955945410966	0.848274001202544	0.9007872131475	0.905197398868204	0.293920706863612	0.997233545206974	0.987235585760553	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Phocaeicola_A_858004 dorei	0.146628289665931	-0.411774408704996	-0.131217897918187	-0.454322651873661	0.244317604829237	0.512131858739192	0.581592229573669	0.656583834193419	0.60015441690506	-0.804039822319853	-0.225618382168509	-0.691949189446271	0.548403329244033	0.421373976896169	0.8214982425596	0.488969238316205	0.997233545206974	0.930036363527287	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Phocaeicola_A_858004 massiliensis	-0.0976934708984248	0.679595342297718	0.475333578446394	-0.725670873557266	0.256995413305706	0.538706732966254	0.611771450195497	0.690654420733707	-0.380137021286891	1.26153118331322	0.776979014457927	-1.05070039627975	0.703843705835551	0.207117532319108	0.437171151615176	0.293396213965165	0.997233545206974	0.845383629609388	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Phocaeicola_A_858004 coprocola	-0.0563872747409795	0.159839909851191	0.428151078415369	-0.139001396332949	0.255803043837032	0.53620732080673	0.608933043121858	0.687450024071156	-0.220432383818321	0.298093486695986	0.703116842239892	-0.202198547480975	0.82553442696161	0.765631812588093	0.48198293696948	0.839761508621197	0.997233545206974	0.960620788038167	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Phocaeicola_A_858004 plebeius	-0.31317148674921	1.27734479667563	1.52244313804141	-0.979113788038064	0.292063612691442	0.612215730185697	0.695250462205864	0.784897374805882	-1.07227149545694	2.08642923351248	2.18977652055212	-1.24744179234924	0.283598105869053	0.0369397592299789	0.0285404483528871	0.212235550648055	0.997233545206974	0.562012670254427	0.661619484544201	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Bacteroides_H helcogenes	0.00586030464707049	0.114725201022465	-0.0823945173283656	-0.0222468216867109	0.0778205659867407	0.1631253348885	0.185250000754335	0.209136487034526	0.0753053459938725	0.70329480764519	-0.444774720609212	-0.106374655145844	0.939971768074706	0.48187204587269	0.656482564736679	0.915285101229004	0.997233545206974	0.945993607281169	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Bacteroides_H cellulosilyticus	0.174195417864393	-0.515010230486769	-0.49257336016825	-0.0696415274465639	0.125021332986216	0.262066287400917	0.297610300520696	0.335984736856912	1.39332555255668	-1.96519069886654	-1.65509513382584	-0.207275866451703	0.163521367012808	0.0493921700799511	0.0979052018267726	0.835794420650546	0.997233545206974	0.58088820579467	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
