"feature"	"enrich_group"	"ef_lda"	"pvalue"	"padj"
"marker1"	"Phocaeicola_A_858004 plebeius"	"active_smoker"	4.21423895832878	0.0217048029721516	0.0374219602214415
"marker2"	"Phascolarctobacterium_A succinatutens"	"active_smoker"	3.7006088883865	0.0266871128460041	0.0382902053877449
"marker3"	"Sutterella wadsworthensis_A_565807"	"active_smoker"	3.60982687959971	0.00313250651995336	0.025794890916199
"marker4"	"Anaerobutyricum hallii"	"active_smoker"	3.6094725148051	0.0346652575556361	0.0423686481235552
"marker5"	"Negativibacillus massiliensis"	"active_smoker"	3.46555244118633	0.00547164352767857	0.025794890916199
"marker6"	"CAG-177 sp003538135"	"active_smoker"	3.39030675155224	0.015522851034717	0.0345054123710557
"marker7"	"Limisoma sp900548875"	"active_smoker"	3.37552121762535	0.00794378087932703	0.032768096127224
"marker8"	"ER4 sp000765235"	"active_smoker"	3.19876728490039	0.0202378619584086	0.0374219602214415
"marker9"	"Duodenibacillus intestinigallinarum"	"active_smoker"	3.18547380818582	0.0227384049453515	0.0374219602214415
"marker10"	"UBA1417 sp003531055"	"active_smoker"	3.08399539590314	0.0146833065947726	0.0345054123710557
"marker11"	"Ruminiclostridium_E siraeum"	"active_smoker"	3.06607229016256	0.0398165363421438	0.0423853451384112
"marker12"	"Aphodousia secunda_A"	"active_smoker"	2.82968146956757	0.0379307352807176	0.0423853451384112
"marker13"	"GCA-900066495 sp900066495"	"active_smoker"	2.69751862176573	0.0379185912675246	0.0423853451384112
"marker14"	"Peptococcus niger"	"active_smoker"	2.67579793879141	0.00506177338992911	0.025794890916199
"marker15"	"Anaeromassilibacillus sp001305115"	"active_smoker"	2.29978531101425	0.0162643326307267	0.0345054123710557
"marker16"	"Phocaeicola_A_858004 vulgatus"	"passive_smoker"	4.44912301714573	0.0259220561996676	0.0382902053877449
"marker17"	"Streptococcus vestibularis"	"passive_smoker"	4.19660086690563	0.0486477555807175	0.0486477555807175
"marker18"	"Bacteroides_H stercoris"	"passive_smoker"	4.18841891449869	0.0308256279884759	0.041380512569992
"marker19"	"Streptococcus gallolyticus"	"passive_smoker"	4.03009338287758	0.0134797786434375	0.0345054123710557
"marker20"	"Weissella_A_338544 confusa"	"passive_smoker"	3.70902692789162	0.00393875749130093	0.025794890916199
"marker21"	"CAG-41 sp001941225"	"passive_smoker"	3.64578644107324	0.0238139746863719	0.0374219602214415
"marker22"	"Bacteroides_H thetaiotaomicron"	"passive_smoker"	3.53402814361023	0.0161292722777817	0.0345054123710557
"marker23"	"Clostridium ramosum"	"passive_smoker"	3.32101939511601	0.00373030060135105	0.025794890916199
"marker24"	"Weissella_A_338544 cibaria"	"passive_smoker"	3.26412513909858	0.00257186044392107	0.025794890916199
"marker25"	"Clostridium_AQ innocuum"	"passive_smoker"	3.20209277218892	0.0156691824274788	0.0345054123710557
"marker26"	"Bacteroides_H zhangwenhongii"	"passive_smoker"	2.86234486924826	0.0386229481995581	0.0423853451384112
"marker27"	"Haemophilus_D_735815 parainfluenzae_K_735050"	"passive_smoker"	2.46012816917499	0.032437314041036	0.041380512569992
"marker28"	"Parabacteroides_B_862066 goldsteinii"	"passive_smoker"	2.39648578016347	0.0235060915971837	0.0374219602214415
"marker29"	"Streptococcus anginosus"	"passive_smoker"	2.28661000316172	0.0326028280854482	0.041380512569992
"marker30"	"UMGS1071 sp900548305"	"passive_smoker"	2.25517354983342	0.0137192348579727	0.0345054123710557
"marker31"	"Granulicatella adiacens"	"passive_smoker"	2.22998891519428	0.0480879537483334	0.0486477555807175
"marker32"	"Anaerostipes hominis"	"passive_smoker"	2.18507719505349	0.0167298969071785	0.0345054123710557
"marker33"	"Enterocloster citroniae"	"passive_smoker"	2.06760267456594	0.00332125811497147	0.025794890916199
