"feature"	"enrich_group"	"ef_lda"	"pvalue"	"padj"
"marker1"	"Phocaeicola_A_858004 plebeius"	"active_smoker"	3.92147200877366	0.0318172429243114	0.0428841100284198
"marker2"	"Clostridium_T disporicum_203972"	"active_smoker"	3.80488877452883	0.0287425556501513	0.0422125281704467
"marker3"	"Phascolarctobacterium_A succinatutens"	"active_smoker"	3.70474193700178	0.000275668807566512	0.00427286651728094
"marker4"	"Succinivibrio sp000431835"	"active_smoker"	3.69644324738537	0.0440168447463575	0.0454840729045694
"marker5"	"Negativibacillus massiliensis"	"active_smoker"	3.41232798336227	3.83778039505673e-05	0.00118971192246759
"marker6"	"CAG-177 sp003538135"	"active_smoker"	3.19126784021136	0.0124223777392697	0.0327113649284445
"marker7"	"Odoribacter splanchnicus"	"active_smoker"	3.17740821282127	0.0391227202267962	0.0449186787789142
"marker8"	"Odoribacter massiliensis"	"active_smoker"	3.16105231289719	0.00869383789032258	0.0327113649284445
"marker9"	"Duodenibacillus intestinigallinarum"	"active_smoker"	3.00499557831839	0.0427738471489113	0.0454840729045694
"marker10"	"UBA1417 sp003531055"	"active_smoker"	2.8099467221645	0.0482221047201933	0.0482221047201933
"marker11"	"GCA-900066495 sp900066495"	"active_smoker"	2.77144940405858	0.0362762059277258	0.0449186787789142
"marker12"	"Peptococcus niger"	"active_smoker"	2.74564532352989	0.0171374071334554	0.0351479472794415
"marker13"	"Aphodousia secunda_A"	"active_smoker"	2.66315216834922	0.0194078387539708	0.0351479472794415
"marker14"	"Allisonella histaminiformans"	"active_smoker"	2.35708286124696	0.0390985394992674	0.0449186787789142
"marker15"	"Vescimonas fastidiosa"	"active_smoker"	2.31326492458451	0.00965550226889634	0.0327113649284445
"marker16"	"Pseudobutyricicoccus sp003477405"	"active_smoker"	2.281341027406	0.0295441711321106	0.0422125281704467
"marker17"	"Limivicinus sp002320035"	"active_smoker"	2.21703600257067	0.0125294998801814	0.0327113649284445
"marker18"	"Lactobacillus crispatus"	"active_smoker"	2.21121881219202	0.00835175063093534	0.0327113649284445
"marker19"	"Lawsonibacter asaccharolyticus"	"active_smoker"	2.16223920767158	0.0157544756951589	0.0351479472794415
"marker20"	"Blautia_A_141781 glucerasea"	"active_smoker"	2.15153664910837	0.0016756906226807	0.0173154697677006
"marker21"	"Duodenibacillus massiliensis"	"active_smoker"	2.11805238293131	0.0126624638432688	0.0327113649284445
"marker22"	"Bacteroides_H faecis"	"active_smoker"	2.10225600744103	0.0258629808481918	0.0421974950681024
"marker23"	"Victivallis lenta"	"active_smoker"	2.0365307384288	0.0160446730506984	0.0351479472794415
"marker24"	"Bifidobacterium pseudocatenulatum"	"never_smoker"	4.13908248917148	0.00692554080882278	0.0327113649284445
"marker25"	"Blautia_A_141781 wexlerae"	"never_smoker"	4.08761470610117	0.0198269982803086	0.0351479472794415
"marker26"	"Ruminococcus_E bromii_B"	"never_smoker"	3.88211533878229	0.0333564933435573	0.0430854705687616
"marker27"	"Enterocloster sp000431375"	"never_smoker"	3.26928328900262	0.020408485517095	0.0351479472794415
"marker28"	"Bacteroides_H ovatus"	"never_smoker"	3.06726490626493	0.00622634504844046	0.0327113649284445
"marker29"	"UBA1394 sp900066845"	"never_smoker"	2.91382902111074	0.0412321507942272	0.0454840729045694
"marker30"	"Bacteroides_H cellulosilyticus"	"never_smoker"	2.4782535459736	0.00283555868543896	0.021975579812152
"marker31"	"Clostridium_Q_134516 symbiosum"	"never_smoker"	2.15809718464109	0.029957278056446	0.0422125281704467
