"feature"	"enrich_group"	"ef_lda"	"pvalue"	"padj"
"marker1"	"Megamonas funiformis"	"ex_smoker"	4.70143018673201	0.0127619523821029	0.0293740940581842
"marker2"	"Phocaeicola_A_858004 plebeius"	"ex_smoker"	4.13369330485162	0.0391711519332285	0.0426972226150804
"marker3"	"Faecalibacillus faecis"	"ex_smoker"	3.82373237344484	0.000579895281617372	0.00753863866102583
"marker4"	"Phascolarctobacterium_A succinatutens"	"ex_smoker"	3.58317975906369	0.00181136143918293	0.0112680580549254
"marker5"	"Blautia_A_141780 argi"	"ex_smoker"	3.41898060320318	0.0247010524574092	0.0401392102432899
"marker6"	"Marvinbryantia sp900066075"	"ex_smoker"	2.76188220128755	0.0411148407533814	0.0426972226150804
"marker7"	"Prevotella sp902776665"	"ex_smoker"	2.68122436340134	0.00216693424133181	0.0112680580549254
"marker8"	"Veillonella_A montpellierensis"	"ex_smoker"	2.65920219738753	0.0307535612592911	0.0420838206706089
"marker9"	"Succinivibrio hippei_A"	"ex_smoker"	2.41278491327674	0.0148639444191273	0.0297278888382546
"marker10"	"Kosakonia cowanii"	"ex_smoker"	2.34646083101747	0.0307535612592911	0.0420838206706089
"marker11"	"Stercorousia sp001765415"	"ex_smoker"	2.32955000113963	0.00216693424133181	0.0112680580549254
"marker12"	"CAG-605 sp000433475"	"ex_smoker"	2.19142172245007	0.0307535612592911	0.0420838206706089
"marker13"	"Blautia_A_141781 luti"	"never_smoker"	3.9614811973777	0.0165046341051016	0.0306514633380459
"marker14"	"Ruminococcus_E sp003438075"	"never_smoker"	3.85721256841738	0.0426585063731861	0.0426972226150804
"marker15"	"Bacteroides_H uniformis"	"never_smoker"	3.83040881424952	0.0426972226150804	0.0426972226150804
"marker16"	"Phascolarctobacterium_A faecium"	"never_smoker"	3.65066416528445	0.00859055505750818	0.0279193039369016
"marker17"	"Bacteroides_H thetaiotaomicron"	"never_smoker"	3.44537516703306	0.00368528310516774	0.0151177362217755
"marker18"	"Alistipes_A_871400 putredinis"	"never_smoker"	3.35933195550582	0.0121975427305198	0.0293740940581842
"marker19"	"Bacteroides_H xylanisolvens"	"never_smoker"	3.35600387532734	0.0106167165805388	0.0293740940581842
"marker20"	"Leuconostoc_B lactis"	"never_smoker"	2.6776434766024	0.0362823181486878	0.0426972226150804
"marker21"	"Bacteroides_H cellulosilyticus"	"never_smoker"	2.62139877774249	0.0216051743107906	0.0374489688053704
"marker22"	"Bacteroides_H nordii"	"never_smoker"	2.57832088515928	0.00407015975201649	0.0151177362217755
"marker23"	"Anaerotignum lactatifermentans"	"never_smoker"	2.57496847372646	0.0395029199142865	0.0426972226150804
"marker24"	"Amedibacterium intestinale"	"never_smoker"	2.37248257028178	0.0135572741807004	0.0293740940581842
"marker25"	"Odoribacter massiliensis"	"never_smoker"	2.36511085406151	0.000135285211819139	0.00351741550729762
"marker26"	"Enterocloster aldenensis"	"never_smoker"	2.08180129284705	0.0344220577563929	0.0426972226150804
